Temperatura,TDS,Turbidez,PH,Clase,,Condición,Clase
23.94,81.38,4.2,6.84,0,,,
23.87,81.39,4,6.84,0,,,
23.94,81.14,3.55,6.84,0,,,
23.94,80.81,4.35,6.84,0,,,
23.87,80.77,3.95,6.84,0,,,
23.94,79.91,3.85,6.84,0,,,
23.87,79.93,3.2,6.84,0,,,
23.87,79.95,3.85,6.84,0,,,
23.87,79.96,3.85,6.84,0,,,
23.94,80.01,3.8,6.84,0,,,
23.94,80.14,3.7,6.84,0,,,
23.94,79.59,4.9,6.84,0,,,
23.87,79.81,4,6.84,0,,,
23.94,79.79,3.4,6.84,0,,,
23.94,79.79,3.65,6.84,0,,,
23.87,79.78,3.65,6.83,0,,,
23.94,79.8,3.7,6.84,0,,,
23.94,79.8,4,6.84,0,,,
23.94,79.52,3.5,6.84,0,,,
23.94,80.12,3.45,6.83,0,,,
23.94,78.39,4.1,6.83,0,,,
23.94,78.39,3.85,6.84,0,,,
23.94,78.37,4,6.83,0,,,
23.94,78.36,3.8,6.83,0,,,
23.94,78.57,3.9,6.83,0,,,
23.94,78.59,3.75,6.83,0,,,
23.94,78.67,4,6.83,0,,,
23.94,78.32,4,6.83,0,,,
23.87,78.32,3.45,6.82,0,,,
23.87,78.28,10.4,6.82,0,,,
23.94,78.27,3.8,6.83,0,,,
23.94,78.26,3.55,6.83,0,,,
23.94,77.96,3.75,6.82,0,,,
23.87,77.98,3.55,6.82,0,,,
23.94,78.05,3.85,6.82,0,,,
23.94,78.72,3.8,6.83,0,,,
23.94,78.67,3,6.83,0,,,
23.87,78.54,2.4,6.83,0,,,
23.94,78.55,4,6.82,0,,,
23.94,78.5,3.75,6.82,0,,,
23.94,78.44,3.9,6.82,0,,,
23.94,78.39,3.75,6.83,0,,,
23.94,77.24,3.55,6.83,0,,,
23.87,77.25,3.7,6.83,0,,,
23.94,76.6,3.8,6.83,0,,,
23.94,76.54,3.9,6.83,0,,,
23.94,76.42,4,6.83,0,,,
23.94,76.46,4,6.83,0,,,
23.94,76.59,3.7,6.83,0,,,
23.87,76.68,3.65,6.83,0,,,
23.94,76.32,3.65,6.83,0,,,
23.94,76.39,0,6.83,0,,,
23.94,76.36,5.05,6.83,0,,,
23.94,76.37,4,6.83,0,,,
23.94,76.39,4.85,6.83,0,,,
23.94,76.34,4.05,6.83,0,,,
23.94,76.33,3.45,6.83,0,,,
23.94,76.4,3.3,6.83,0,,,
23.94,76.4,4,6.82,0,,,
23.94,76.53,4.05,6.83,0,,,
23.94,76.54,3.9,6.83,0,,,
23.87,76.56,3.6,6.83,0,,,
23.94,76.6,4,6.83,0,,,
23.94,76.59,4,6.83,0,,,
23.94,76.58,4,6.83,0,,,
23.94,77.04,4,6.83,0,,,
23.94,76.94,5.75,6.83,0,,,
23.94,77.05,4,6.83,0,,,
23.94,77.04,4,6.83,0,,,
23.94,77.02,1.15,6.84,0,,,
23.94,77.04,5.75,6.83,0,,,
23.94,77.08,4,6.83,0,,,
23.94,78.05,3.65,6.84,0,,,
23.87,78.05,3.85,6.83,0,,,
23.87,78.69,3.4,6.82,0,,,
23.94,78.61,3.7,6.82,0,,,
23.94,79.05,3.75,6.82,0,,,
23.94,80.65,4.7,6.82,0,,,
24,80.63,4,6.82,0,,,
23.94,80.81,3.7,6.82,0,,,
23.94,80.84,3.85,6.82,0,,,
23.94,80.83,3.7,6.82,0,,,
23.94,81.71,3.55,6.82,0,,,
23.87,82.17,4,6.82,0,,,
23.94,81.7,4.3,6.82,0,,,
23.94,81.73,3.9,6.82,0,,,
23.94,81.76,4,6.82,0,,,
23.94,81.66,3.7,6.82,0,,,
23.94,81.68,3.8,6.82,0,,,
23.94,81.62,4,6.82,0,,,
23.94,81.69,3.9,6.83,0,,,
23.94,81.62,3.9,6.83,0,,,
23.94,81.56,5.6,6.83,0,,,
23.94,81.83,3.35,6.83,0,,,
23.94,81.83,3.9,6.83,0,,,
23.94,81.59,3.7,6.83,0,,,
23.94,81.75,3.85,6.82,0,,,
23.94,81.8,3.85,6.82,0,,,
23.94,82.03,3.9,6.82,0,,,
23.94,82.06,5.85,6.81,0,,,
23.94,83.04,4.45,6.81,0,,,
23.94,82.99,0.9,6.81,0,,,
23.94,83,3.9,6.81,0,,,
23.94,83.03,3.4,6.81,0,,,
23.94,83.1,3.9,6.81,0,,,
23.94,83.23,3.75,6.81,0,,,
23.94,82.95,3.75,6.8,0,,,
23.94,81.33,3.85,6.8,0,,,
23.94,81.34,3.75,6.8,0,,,
23.94,81.36,3.9,6.8,0,,,
23.94,81.34,3.4,6.8,0,,,
23.94,81.34,4.3,6.8,0,,,
23.94,80.5,4,6.8,0,,,
23.94,80.06,3.2,6.81,0,,,
23.94,80.48,3.8,6.81,0,,,
23.94,80.42,3.35,6.81,0,,,
23.94,80.43,3.1,6.81,0,,,
23.94,80.51,3.65,6.81,0,,,
23.94,80.49,3.95,6.81,0,,,
23.94,80.5,3.85,6.81,0,,,
23.94,80.4,3.85,6.82,0,,,
23.94,80.47,3.8,6.82,0,,,
23.94,80.48,4,6.82,0,,,
23.94,79.69,4.2,6.83,0,,,
23.94,78.12,3.95,6.82,0,,,
23.94,78.12,3.85,6.83,0,,,
23.94,78.11,3.8,6.83,0,,,
23.94,78.07,3.85,6.82,0,,,
23.94,76.8,3.9,6.82,0,,,
23.94,76.8,3.8,6.82,0,,,
23.94,75.14,3.85,6.82,0,,,
23.94,75.96,2.65,6.83,0,,,
23.94,75.9,4.9,6.82,0,,,
23.94,75.88,3.7,6.82,0,,,
23.94,75.71,3.25,6.82,0,,,
23.94,75.74,3.75,6.82,0,,,
23.94,75.71,4,6.82,0,,,
23.94,76.34,3.85,6.82,0,,,
23.94,76.35,3.85,6.83,0,,,
